Frame,Keypoint,X,Y,Confidence
1,Nose,258.74532759189606,307.19006180763245,0.9999773502349854
1,Left Eye,279.5286476612091,291.0613703727722,0.9999569654464722
1,Right Eye,290.53066968917847,291.920428276062,0.9999669790267944
1,Left Ear,301.5341341495514,293.13817262649536,0.9999513626098633
1,Right Ear,256.0923993587494,290.9967076778412,0.9999508857727051
1,Left Shoulder,387.71422505378723,398.57370615005493,0.9999743700027466
1,Right Shoulder,180.33950477838516,377.68511295318604,0.99998939037323
1,Left Elbow,446.4283376932144,486.63071393966675,0.9930410385131836
1,Right Elbow,97.45170027017593,475.27331829071045,0.9928601384162903
1,Left Wrist,395.7885354757309,552.1827864646912,0.9877575635910034
1,Right Wrist,199.33738857507706,530.284663438797,0.9831609129905701
1,Left Hip,347.5412368774414,585.3415846824646,0.9994420409202576
1,Right Hip,214.1765922307968,604.3044590950012,0.9998306035995483
1,Left Knee,519.3642437458038,569.8891639709473,0.9678813219070435
1,Right Knee,162.12518960237503,593.8412690162659,0.9795753359794617
1,Left Ankle,593.5366749763489,771.7848944664001,0.9657002091407776
1,Right Ankle,260.6494203209877,779.4963312149048,0.959442675113678
2,Nose,261.64489537477493,307.63407468795776,0.9999761581420898
2,Left Eye,284.85682904720306,291.07295751571655,0.9999540448188782
2,Right Eye,296.7855155467987,291.8814504146576,0.9999638199806213
2,Left Ear,307.07625448703766,292.9787850379944,0.9999455213546753
2,Right Ear,257.3198929429054,291.15371346473694,0.999949038028717
2,Left Shoulder,395.8851456642151,399.13668036460876,0.9999698400497437
2,Right Shoulder,183.42183530330658,377.7865970134735,0.9999894499778748
2,Left Elbow,446.53379917144775,491.77649974823,0.9925854802131653
2,Right Elbow,100.00245347619057,475.2697777748108,0.9929426908493042
2,Left Wrist,396.24470472335815,552.2071838378906,0.9869065284729004
2,Right Wrist,200.2894103527069,529.9219214916229,0.9834647178649902
2,Left Hip,354.7500878572464,585.9014368057251,0.9994438290596008
2,Right Hip,221.40183448791504,604.4919776916504,0.9998316764831543
2,Left Knee,552.3695230484009,582.9906821250916,0.9651789665222168
2,Right Knee,168.61280798912048,600.240912437439,0.9786639213562012
2,Left Ankle,594.6528553962708,774.5954203605652,0.9618688225746155
2,Right Ankle,261.40176355838776,792.142345905304,0.9588386416435242
3,Nose,268.5601130127907,307.6063299179077,0.9999740123748779
3,Left Eye,292.2892242670059,291.03697299957275,0.9999476671218872
3,Right Eye,303.6988317966461,291.838481426239,0.999957799911499
3,Left Ear,313.6589914560318,292.9391312599182,0.9999340772628784
3,Right Ear,264.6498426795006,291.02625489234924,0.9999450445175171
3,Left Shoulder,400.71683526039124,399.3285119533539,0.99996417760849
3,Right Shoulder,186.84795647859573,377.7687656879425,0.9999896287918091
3,Left Elbow,446.78478240966797,492.5985109806061,0.9920076727867126
3,Right Elbow,101.16119384765625,474.7740089893341,0.9930111169815063
3,Left Wrist,396.75247371196747,552.6043009757996,0.9856102466583252
3,Right Wrist,200.33540427684784,529.1693687438965,0.9837666749954224
3,Left Hip,360.8615428209305,585.842535495758,0.9994328618049622
3,Right Hip,227.65195965766907,604.0005540847778,0.9998318552970886
3,Left Knee,557.1837723255157,586.7039752006531,0.9605328440666199
3,Right Knee,171.33698910474777,602.9505014419556,0.9761465787887573
3,Left Ankle,594.6737706661224,775.8466386795044,0.9530873894691467
3,Right Ankle,261.8200033903122,799.3046808242798,0.9566366672515869
4,Nose,279.89351749420166,307.877436876297,0.999970555305481
