Frame,Keypoint,X,Y,Confidence
1,Nose,1227.3930358886719,299.165997505188,0.9998832941055298
1,Left Eye,1233.687858581543,287.4436068534851,0.9997621178627014
1,Right Eye,1237.7951431274414,286.998370885849,0.9998171925544739
1,Left Ear,1242.5360870361328,286.5938186645508,0.9998216032981873
1,Right Ear,1226.1864852905273,288.92006635665894,0.9996851682662964
1,Left Shoulder,1297.7167510986328,362.8800916671753,0.9999630451202393
1,Right Shoulder,1216.3560104370117,368.648042678833,0.9996410608291626
1,Left Elbow,1305.3833770751953,446.6224980354309,0.9983073472976685
1,Right Elbow,1197.436866760254,443.78734946250916,0.7340281009674072
1,Left Wrist,1297.5299835205078,528.18230509758,0.9925549626350403
1,Right Wrist,1177.0820617675781,511.5630912780762,0.8533158898353577
1,Left Hip,1262.1742630004883,508.6169958114624,0.9988860487937927
1,Right Hip,1221.031837463379,510.0904941558838,0.9980950951576233
1,Left Knee,1231.5093612670898,618.6045384407043,0.9181815981864929
1,Right Knee,1226.6434478759766,625.1680755615234,0.43348807096481323
1,Left Ankle,1254.5232009887695,730.6043171882629,0.9511137008666992
1,Right Ankle,1252.166748046875,729.8587489128113,0.6263225674629211
2,Nose,1224.3485641479492,299.73328471183777,0.9998887181282043
2,Left Eye,1230.4717254638672,288.09200406074524,0.999773383140564
2,Right Eye,1233.8263320922852,287.63946175575256,0.9998258352279663
2,Left Ear,1237.8207778930664,287.17324018478394,0.9998297095298767
2,Right Ear,1222.584457397461,289.43028688430786,0.9997003078460693
2,Left Shoulder,1296.7719268798828,366.11515760421753,0.9999644160270691
2,Right Shoulder,1207.6158142089844,369.08429861068726,0.99965500831604
2,Left Elbow,1303.4750747680664,455.90479731559753,0.9983420372009277
2,Right Elbow,1189.618263244629,448.8315546512604,0.7343987822532654
2,Left Wrist,1291.8950271606445,532.591245174408,0.9922580122947693
2,Right Wrist,1164.5318984985352,512.0753717422485,0.854827880859375
2,Left Hip,1259.6170806884766,511.87353014945984,0.9989264011383057
2,Right Hip,1214.520149230957,510.18460750579834,0.9981505870819092
2,Left Knee,1224.9921798706055,618.2393503189087,0.9191439151763916
2,Right Knee,1221.9524002075195,624.4373774528503,0.425560861825943
2,Left Ankle,1248.7883377075195,730.5940175056458,0.9507299661636353
2,Right Ankle,1243.4955596923828,730.9936451911926,0.6216394305229187
3,Nose,1217.7267837524414,299.4887638092041,0.9998921155929565
3,Left Eye,1224.3919372558594,288.0441427230835,0.999779224395752
3,Right Eye,1227.8417587280273,287.636661529541,0.9998308420181274
3,Left Ear,1231.4844131469727,287.17385172843933,0.9998341202735901
3,Right Ear,1215.9236526489258,289.04160261154175,0.9997082948684692
3,Left Shoulder,1289.084587097168,366.12812876701355,0.9999659657478333
3,Right Shoulder,1199.0321731567383,369.0469300746918,0.9996705055236816
3,Left Elbow,1297.507667541504,454.8461186885834,0.9984297156333923
3,Right Elbow,1182.6373672485352,448.41837644577026,0.7267854809761047
3,Left Wrist,1287.8556060791016,533.40855717659,0.992305338382721
3,Right Wrist,1154.4899368286133,511.77645564079285,0.8537807464599609
3,Left Hip,1253.9691925048828,512.5168418884277,0.9989692568778992
3,Right Hip,1206.825828552246,510.17990827560425,0.9982287287712097
3,Left Knee,1216.388168334961,618.0560803413391,0.9262166023254395
3,Right Knee,1219.076042175293,625.4292368888855,0.4290560781955719
3,Left Ankle,1239.5058059692383,734.8656177520752,0.9531469941139221
3,Right Ankle,1235.2614212036133,736.7221999168396,0.633324384689331
4,Nose,1208.6279296875,299.0406632423401,0.999900758266449
4,Left Eye,1215.6322860717773,287.88382172584534,0.9997963309288025
4,Right Eye,1219.5687103271484,287.5895082950592,0.9998440742492676
4,Left Ear,1223.4114074707031,287.1713411808014,0.9998468160629272
4,Right Ear,1206.8339538574219,288.51969838142395,0.9997314214706421
4,Left Shoulder,1281.4434814453125,366.6503870487213,0.9999680519104004
4,Right Shoulder,1191.4043426513672,368.94493103027344,0.9996923804283142
4,Left Elbow,1289.3095779418945,456.893470287323,0.9985244274139404
4,Right Elbow,1175.4694747924805,448.3445405960083,0.7221747040748596
4,Left Wrist,1283.836555480957,534.3382000923157,0.9925588965415955
4,Right Wrist,1145.2616500854492,510.0989592075348,0.8559476137161255
4,Left Hip,1247.9999542236328,513.1153500080109,0.9990274906158447
4,Right Hip,1201.7573547363281,510.3685534000397,0.9983381628990173
4,Left Knee,1208.587532043457,618.6344075202942,0.9326768517494202
4,Right Knee,1214.0055084228516,628.3278894424438,0.4335116744041443
4,Left Ankle,1220.130844116211,737.5236439704895,0.9554710388183594
4,Right Ankle,1223.7992477416992,740.666913986206,0.6469762325286865
5,Nose,1200.1557540893555,298.916198015213,0.9999095797538757
5,Left Eye,1207.6926040649414,287.8034520149231,0.9998143911361694
5,Right Eye,1211.6475677490234,287.57206320762634,0.9998577237129211
5,Left Ear,1215.7564544677734,287.17410922050476,0.9998603463172913
5,Right Ear,1199.194221496582,288.17874670028687,0.9997552633285522
5,Left Shoulder,1274.3608474731445,368.1243360042572,0.999970555305481
5,Right Shoulder,1185.1152420043945,368.92709970474243,0.9997144937515259
5,Left Elbow,1283.8318634033203,461.44309759140015,0.9985873699188232
5,Right Elbow,1166.7474746704102,448.6443901062012,0.7196298241615295
5,Left Wrist,1278.5825729370117,537.1671044826508,0.9925577044487
5,Right Wrist,1135.9246444702148,510.65568923950195,0.8567879796028137
5,Left Hip,1239.8238372802734,514.7949707508087,0.9990930557250977
5,Right Hip,1195.4962921142578,511.4026093482971,0.9984344244003296
5,Left Knee,1202.0117568969727,618.72478723526,0.9360620379447937
